id,text_snippet,labels,cleaned_text
1,Our compliance team is worried about data handling. Are you SOC2 certified?,Objection,compliance team worried data handling soc certified
2,Our compliance team is worried about data handling. Are you SOC2 certified?,Pricing Discussion,compliance team worried data handling soc certified
3,"We are considering a discount, but our data pipeline needs better integration.",Objection,considering discount data pipeline needs better integration
4,Security concerns like data breaches are a top priority for us.,"Security, Pricing Discussion, Objection",security concerns like data breaches top priority us
5,We are evaluating the analytics capabilities of your solution vs CompetitorX.,"Objection, Competition, Pricing Discussion",evaluating analytics capabilities solution vs competitorx
6,Security concerns like data breaches are a top priority for us.,Objection,security concerns like data breaches top priority us
7,Security concerns like data breaches are a top priority for us.,"Objection, Pricing Discussion, Competition",security concerns like data breaches top priority us
8,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Security, Pricing Discussion",love data pipeline competitory cheaper subscription
9,Our compliance team is worried about data handling. Are you SOC2 certified?,"Pricing Discussion, Competition",compliance team worried data handling soc certified
10,Security concerns like data breaches are a top priority for us.,Competition,security concerns like data breaches top priority us
11,"We are considering a discount, but our analytics needs better integration.",Objection,considering discount analytics needs better integration
12,Data pipeline efficiency matters a lot. Can you customize it?,"Pricing Discussion, Competition",data pipeline efficiency matters lot customize
13,Data pipeline efficiency matters a lot. Can you customize it?,"Objection, Pricing Discussion, Security",data pipeline efficiency matters lot customize
14,love ai engine competitorx cheaper subscription,"Pricing Discussion, Security, Competition",offer better renewal cost also like competitorys data pipeline
15,"We are considering a discount, but our AI engine needs better integration.",Objection,considering discount ai engine needs better integration
16,"We are considering a discount, but our AI engine needs better integration.","Security, Pricing Discussion",considering discount ai engine needs better integration
17,Data pipeline efficiency matters a lot. Can you customize it?,"Objection, Security, Pricing Discussion",data pipeline efficiency matters lot customize
18,Data pipeline efficiency matters a lot. Can you customize it?,"Pricing Discussion, Objection",data pipeline efficiency matters lot customize
19,"We love the analytics, but CompetitorY has a cheaper subscription.",Security,love analytics competitory cheaper subscription
20,Our compliance team is worried about data handling. Are you SOC2 certified?,Pricing Discussion,compliance team worried data handling soc certified
21,"We love the AI engine, but CompetitorY has a cheaper subscription.","Pricing Discussion, Objection",love ai engine competitory cheaper subscription
22,Can you offer a better renewal cost? We also like CompetitorZ's AI engine.,"Objection, Competition, Security",offer better renewal cost also like competitorzs ai engine
23,"We love the AI engine, but CompetitorY has a cheaper subscription.","Competition, Pricing Discussion",love ai engine competitory cheaper subscription
24,What pricing model do you offer compared to CompetitorX?,Competition,pricing model offer compared competitorx
25,Security concerns like data breaches are a top priority for us.,"Pricing Discussion, Objection, Security",security concerns like data breaches top priority us
26,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Security, Competition",love data pipeline competitorx cheaper subscription
27,Can you offer a better renewal cost? We also like CompetitorX's data pipeline.,"Competition, Objection",offer better renewal cost also like competitorxs data pipeline
28,Security concerns like data breaches are a top priority for us.,Security,security concerns like data breaches top priority us
29,What pricing model do you offer compared to CompetitorY?,Security,pricing model offer compared competitory
